自然地理与行政区划_镇个数,地区生产总值                                                                                        
非私营与规模以上私营单位分行业在岗职工平均工资_合计_按行业分_国际组织,
非私营与规模以上私营单位分行业在岗职工平均工资_规模以上私营单位_总计,
非私营与规模以上私营单位分行业在岗职工平均工资_规模以上私营单位_按行业分_农、林、牧、渔业,
非私营与规模以上私营单位分行业在岗职工平均工资_规模以上私营单位_按行业分_采矿业,
非私营与规模以上私营单位分行业在岗职工平均工资_规模以上私营单位_按行业分_制造业,
非私营与规模以上私营单位分行业在岗职工平均工资_规模以上私营单位_按行业分_电力、煤气及水的生产和供应业,
非私营与规模以上私营单位分行业在岗职工平均工资_规模以上私营单位_按行业分_建筑业,
非私营与规模以上私营单位分行业在岗职工平均工资_规模以上私营单位_按行业分_交通运输、仓储和邮政业,
非私营与规模以上私营单位分行业在岗职工平均工资_规模以上私营单位_按行业分_信息传输、计算机服务和软件业,
非私营与规模以上私营单位分行业在岗职工平均工资_规模以上私营单位_按行业分_批发与零售业,
非私营与规模以上私营单位分行业在岗职工平均工资_规模以上私营单位_按行业分_住宿和餐饮业,
非私营与规模以上私营单位分行业在岗职工平均工资_规模以上私营单位_按行业分_金融业,
非私营与规模以上私营单位分行业在岗职工平均工资_规模以上私营单位_按行业分_房地产业,
非私营与规模以上私营单位分行业在岗职工平均工资_规模以上私营单位_按行业分_租赁与商务服务业,
非私营与规模以上私营单位分行业在岗职工平均工资_规模以上私营单位_按行业分_科学研究、技术服务与地质勘查业,
非私营与规模以上私营单位分行业在岗职工平均工资_规模以上私营单位_按行业分_水利、环境和公共设施管理业,
非私营与规模以上私营单位分行业在岗职工平均工资_规模以上私营单位_按行业分_居民服务和规模以上私营单位服务业,
非私营与规模以上私营单位分行业在岗职工平均工资_规模以上私营单位_按行业分_教育,
非私营与规模以上私营单位分行业在岗职工平均工资_规模以上私营单位_按行业分_卫生、社会保障和社会福利业,
非私营与规模以上私营单位分行业在岗职工平均工资_规模以上私营单位_按行业分_文化、体育与娱乐业,
非私营与规模以上私营单位分行业在岗职工平均工资_规模以上私营单位_按行业分_公共管理与社会组织,
非私营与规模以上私营单位分行业在岗职工平均工资_规模以上私营单位_按行业分_国际组织,
分地区分行业非私营单位在岗职工平均工资_总计,
分地区分行业非私营单位在岗职工平均工资_按企业、事业机关分_企业,
分地区分行业非私营单位在岗职工平均工资_按企业、事业机关分_事业,
分地区分行业非私营单位在岗职工平均工资_按企业、事业机关分_机关,
分地区分行业非私营单位在岗职工平均工资_按行业分_农、林、牧、渔业,
分地区分行业非私营单位在岗职工平均工资_按行业分_采矿业,
分地区分行业非私营单位在岗职工平均工资_按行业分_制造业,
分地区分行业非私营单位在岗职工平均工资_按行业分_电力、煤气及水的生产和供应业,
分地区分行业非私营单位在岗职工平均工资_按行业分_建筑业,
分地区分行业非私营单位在岗职工平均工资_按行业分_交通运输、仓储和邮政业,
分地区分行业非私营单位在岗职工平均工资_按行业分_信息传输、计算机服务和软件业,
分地区分行业非私营单位在岗职工平均工资_按行业分_批发与零售业,
分地区分行业非私营单位在岗职工平均工资_按行业分_住宿和餐饮业,
分地区分行业非私营单位在岗职工平均工资_按行业分_金融业,
分地区分行业非私营单位在岗职工平均工资_按行业分_房地产业,
分地区分行业非私营单位在岗职工平均工资_按行业分_租赁与商务服务业,
分地区分行业非私营单位在岗职工平均工资_按行业分_科学研究、技术服务与地质勘查业,
分地区分行业非私营单位在岗职工平均工资_按行业分_水利、环境和公共设施管理业,
分地区分行业非私营单位在岗职工平均工资_按行业分_居民服务和其他服务业,
分地区分行业非私营单位在岗职工平均工资_按行业分_教育,
分地区分行业非私营单位在岗职工平均工资_按行业分_卫生、社会保障和社会福利业,
分地区分行业非私营单位在岗职工平均工资_按行业分_文化、体育与娱乐业,
分地区分行业非私营单位在岗职工平均工资_按行业分_公共管理与社会组织,
分地区分行业非私营单位在岗职工平均工资_按行业分_国际组织,
分地区分行业（含规模以上私营单位）在岗职工平均工资_总计,
分地区分行业（含规模以上私营单位）在岗职工平均工资_按行业分_农、林、牧、渔业,
分地区分行业（含规模以上私营单位）在岗职工平均工资_按行业分_采矿业,
分地区分行业（含规模以上私营单位）在岗职工平均工资_按行业分_制造业,
分地区分行业（含规模以上私营单位）在岗职工平均工资_按行业分_电力、煤气及水的生产和供应业,
分地区分行业（含规模以上私营单位）在岗职工平均工资_按行业分_建筑业,
分地区分行业（含规模以上私营单位）在岗职工平均工资_按行业分_交通运输、仓储和邮政业,
分地区分行业（含规模以上私营单位）在岗职工平均工资_按行业分_信息传输、计算机服务和软件业,
分地区分行业（含规模以上私营单位）在岗职工平均工资_按行业分_批发与零售业,
分地区分行业（含规模以上私营单位）在岗职工平均工资_按行业分_住宿和餐饮业,
分地区分行业（含规模以上私营单位）在岗职工平均工资_按行业分_金融业,
分地区分行业（含规模以上私营单位）在岗职工平均工资_按行业分_房地产业,
分地区分行业（含规模以上私营单位）在岗职工平均工资_按行业分_租赁与商务服务业,
分地区分行业（含规模以上私营单位）在岗职工平均工资_按行业分_科学研究、技术服务与地质勘查业,
分地区分行业（含规模以上私营单位）在岗职工平均工资_按行业分_水利、环境和公共设施管理业,
分地区分行业（含规模以上私营单位）在岗职工平均工资_按行业分_居民服务和其他服务业,
分地区分行业（含规模以上私营单位）在岗职工平均工资_按行业分_教育,
分地区分行业（含规模以上私营单位）在岗职工平均工资_按行业分_卫生、社会保障和社会福利业,
分地区分行业（含规模以上私营单位）在岗职工平均工资_按行业分_文化、体育与娱乐业,
分地区分行业（含规模以上私营单位）在岗职工平均工资_按行业分_公共管理与社会组织,
分地区分行业（含规模以上私营单位）在岗职工平均工资_按行业分_国际组织,
分地区分行业城镇工业建筑业企业在岗职工平均工资_采矿业,
分地区分行业城镇工业建筑业企业在岗职工平均工资_制造业,
分地区分行业城镇工业建筑业企业在岗职工平均工资_制造业_农副食品加工业,
分地区分行业城镇工业建筑业企业在岗职工平均工资_制造业_食品制造业,
分地区分行业城镇工业建筑业企业在岗职工平均工资_制造业_饮料制造业,
分地区分行业城镇工业建筑业企业在岗职工平均工资_制造业_纺织业,
分地区分行业城镇工业建筑业企业在岗职工平均工资_制造业_纺织服装、鞋、帽制造业,
分地区分行业城镇工业建筑业企业在岗职工平均工资_制造业_皮革、毛皮、羽毛(绒)及其制品业,
分地区分行业城镇工业建筑业企业在岗职工平均工资_制造业_木材加工及木、竹、藤、棕、草制,
分地区分行业城镇工业建筑业企业在岗职工平均工资_制造业_家具制造业,
分地区分行业城镇工业建筑业企业在岗职工平均工资_制造业_造纸及纸制品业,
分地区分行业城镇工业建筑业企业在岗职工平均工资_制造业_印刷业和记录媒介的复制,
分地区分行业城镇工业建筑业企业在岗职工平均工资_制造业_文教体育用品制造业,
分地区分行业城镇工业建筑业企业在岗职工平均工资_制造业_石油加工、炼焦及核燃料加工业,
分地区分行业城镇工业建筑业企业在岗职工平均工资_制造业_化学原料及化学制品制造业,
分地区分行业城镇工业建筑业企业在岗职工平均工资_制造业_医药制造业,
分地区分行业城镇工业建筑业企业在岗职工平均工资_制造业_化学纤维制造业,
分地区分行业城镇工业建筑业企业在岗职工平均工资_制造业_橡胶制品业,
分地区分行业城镇工业建筑业企业在岗职工平均工资_制造业_塑料制品业,
分地区分行业城镇工业建筑业企业在岗职工平均工资_制造业_非金属矿物制品业,
分地区分行业城镇工业建筑业企业在岗职工平均工资_制造业_黑色金属冶炼及压延加工业,
分地区分行业城镇工业建筑业企业在岗职工平均工资_制造业_有色金属冶炼及压延加工业,
分地区分行业城镇工业建筑业企业在岗职工平均工资_制造业_金属制品业,
分地区分行业城镇工业建筑业企业在岗职工平均工资_制造业_通用设备制造业,
分地区分行业城镇工业建筑业企业在岗职工平均工资_制造业_专用设备制造业,
分地区分行业城镇工业建筑业企业在岗职工平均工资_制造业_交通运输设备制造业,
分地区分行业城镇工业建筑业企业在岗职工平均工资_制造业_电气机械及器材制造业,
分地区分行业城镇工业建筑业企业在岗职工平均工资_制造业_通信设备、计算机及其他电子设备,
分地区分行业城镇工业建筑业企业在岗职工平均工资_制造业_仪器仪表及文化、办公用机械制造,
分地区分行业城镇工业建筑业企业在岗职工平均工资_制造业_工艺品及其他制造业,
分地区分行业城镇工业建筑业企业在岗职工平均工资_制造业_废弃资源和废旧材料回收加工业,
分地区分行业城镇工业建筑业企业在岗职工平均工资_电力、热力的生产和供应业,
分地区分行业城镇工业建筑业企业在岗职工平均工资_电力、热力的生产和供应业_电力、热力的生产和供应业,
分地区分行业城镇工业建筑业企业在岗职工平均工资_电力、热力的生产和供应业_燃气生产和供应业,
分地区分行业城镇工业建筑业企业在岗职工平均工资_电力、热力的生产和供应业_水的生产和供应业,
分地区分行业城镇工业建筑业企业在岗职工平均工资_建筑业,
分地区分行业（含规模以上私营单位）工业建筑业企业在岗职工平均工资_采矿业,
分地区分行业（含规模以上私营单位）工业建筑业企业在岗职工平均工资_制造业,
分地区分行业（含规模以上私营单位）工业建筑业企业在岗职工平均工资_制造业_农副食品加工业,
分地区分行业（含规模以上私营单位）工业建筑业企业在岗职工平均工资_制造业_食品制造业,
分地区分行业（含规模以上私营单位）工业建筑业企业在岗职工平均工资_制造业_饮料制造业,
分地区分行业（含规模以上私营单位）工业建筑业企业在岗职工平均工资_制造业_纺织业,
分地区分行业（含规模以上私营单位）工业建筑业企业在岗职工平均工资_制造业_纺织服装、鞋、帽制造业,
分地区分行业（含规模以上私营单位）工业建筑业企业在岗职工平均工资_制造业_皮革、毛皮、羽毛(绒)及其制品业,
分地区分行业（含规模以上私营单位）工业建筑业企业在岗职工平均工资_制造业_木材加工及木、竹、藤、棕、草制,
分地区分行业（含规模以上私营单位）工业建筑业企业在岗职工平均工资_制造业_家具制造业,
分地区分行业（含规模以上私营单位）工业建筑业企业在岗职工平均工资_制造业_造纸及纸制品业,
分地区分行业（含规模以上私营单位）工业建筑业企业在岗职工平均工资_制造业_印刷业和记录媒介的复制,
分地区分行业（含规模以上私营单位）工业建筑业企业在岗职工平均工资_制造业_文教体育用品制造业,
分地区分行业（含规模以上私营单位）工业建筑业企业在岗职工平均工资_制造业_石油加工、炼焦及核燃料加工业,
分地区分行业（含规模以上私营单位）工业建筑业企业在岗职工平均工资_制造业_化学原料及化学制品制造业,
分地区分行业（含规模以上私营单位）工业建筑业企业在岗职工平均工资_制造业_医药制造业,
分地区分行业（含规模以上私营单位）工业建筑业企业在岗职工平均工资_制造业_化学纤维制造业,
分地区分行业（含规模以上私营单位）工业建筑业企业在岗职工平均工资_制造业_橡胶制品业,
分地区分行业（含规模以上私营单位）工业建筑业企业在岗职工平均工资_制造业_塑料制品业,
分地区分行业（含规模以上私营单位）工业建筑业企业在岗职工平均工资_制造业_非金属矿物制品业,
分地区分行业（含规模以上私营单位）工业建筑业企业在岗职工平均工资_制造业_黑色金属冶炼及压延加工业,
分地区分行业（含规模以上私营单位）工业建筑业企业在岗职工平均工资_制造业_有色金属冶炼及压延加工业,
分地区分行业（含规模以上私营单位）工业建筑业企业在岗职工平均工资_制造业_金属制品业,
分地区分行业（含规模以上私营单位）工业建筑业企业在岗职工平均工资_制造业_通用设备制造业,
分地区分行业（含规模以上私营单位）工业建筑业企业在岗职工平均工资_制造业_专用设备制造业,
分地区分行业（含规模以上私营单位）工业建筑业企业在岗职工平均工资_制造业_交通运输设备制造业,
分地区分行业（含规模以上私营单位）工业建筑业企业在岗职工平均工资_制造业_电气机械及器材制造业,
分地区分行业（含规模以上私营单位）工业建筑业企业在岗职工平均工资_制造业_通信设备、计算机及其他电子设备,
分地区分行业（含规模以上私营单位）工业建筑业企业在岗职工平均工资_制造业_仪器仪表及文化、办公用机械制造,
分地区分行业（含规模以上私营单位）工业建筑业企业在岗职工平均工资_制造业_工艺品及其他制造业,
分地区分行业（含规模以上私营单位）工业建筑业企业在岗职工平均工资_制造业_废弃资源和废旧材料回收加工业,
分地区分行业（含规模以上私营单位）工业建筑业企业在岗职工平均工资_电力、热力的生产和供应业,
分地区分行业（含规模以上私营单位）工业建筑业企业在岗职工平均工资_电力、热力的生产和供应业_电力、热力的生产和供应业,
分地区分行业（含规模以上私营单位）工业建筑业企业在岗职工平均工资_电力、热力的生产和供应业_燃气生产和供应业,
分地区分行业（含规模以上私营单位）工业建筑业企业在岗职工平均工资_电力、热力的生产和供应业_水的生产和供应业,
分地区分行业（含规模以上私营单位）工业建筑业企业在岗职工平均工资_建筑业,
全市在岗职工与离退休人员保险福利费用_年末离退休退职人数,
全市在岗职工与离退休人员保险福利费用_年末离退休退职人数_离休人数,
全市在岗职工与离退休人员保险福利费用_年末离退休退职人数_退休人数,
全市在岗职工与离退休人员保险福利费用_年末离退休退职人数_领取定期生活费退职人数,
全市在岗职工与离退休人员保险福利费用_保险福利费用总计,
全市在岗职工与离退休人员保险福利费用_保险福利费用总计_离休金,
全市在岗职工与离退休人员保险福利费用_保险福利费用总计_退休金,
全市在岗职工与离退休人员保险福利费用_保险福利费用总计_退职生活费,
全市在岗职工与离退休人员保险福利费用_保险福利费用总计_医疗卫生费,
全市在岗职工与离退休人员保险福利费用_保险福利费用总计_其他,
市区在岗职工与离退休人员保险福利费用_年末离退休退职人数,
市区在岗职工与离退休人员保险福利费用_年末离退休退职人数_离休人数,
市区在岗职工与离退休人员保险福利费用_年末离退休退职人数_退休人数,
市区在岗职工与离退休人员保险福利费用_年末离退休退职人数_领取定期生活费退职人数,
市区在岗职工与离退休人员保险福利费用_保险福利费用总计,
市区在岗职工与离退休人员保险福利费用_保险福利费用总计_离休金,
市区在岗职工与离退休人员保险福利费用_保险福利费用总计_退休金,
市区在岗职工与离退休人员保险福利费用_保险福利费用总计_退职生活费,
市区在岗职工与离退休人员保险福利费用_保险福利费用总计_医疗卫生费,
市区在岗职工与离退休人员保险福利费用_保险福利费用总计_其他,
全市在岗职工与离退休人员保险福利费用_职工保险福利费用合计,
全市在岗职工与离退休人员保险福利费用_职工保险福利费用合计_集体福利设施及事业补贴费,
全市在岗职工与离退休人员保险福利费用_职工保险福利费用合计_文体宣传费,
全市在岗职工与离退休人员保险福利费用_职工保险福利费用合计_医疗卫生费,
全市在岗职工与离退休人员保险福利费用_职工保险福利费用合计_其他,
全市在岗职工与离退休人员保险福利费用_离休、退休、退职人员人数与保险费用,
全市在岗职工与离退休人员保险福利费用_离休、退休、退职人员人数与保险费用_年末离退休退职人数,
全市在岗职工与离退休人员保险福利费用_离休、退休、退职人员人数与保险费用_年末离退休退职人数_离休人数,
全市在岗职工与离退休人员保险福利费用_离休、退休、退职人员人数与保险费用_年末离退休退职人数_退休人数,
全市在岗职工与离退休人员保险福利费用_离休、退休、退职人员人数与保险费用_年末离退休退职人数_领取定期生活费退职人员,
全市在岗职工与离退休人员保险福利费用_离休、退休、退职人员人数与保险费用_保险福利费用总计,
全市在岗职工与离退休人员保险福利费用_离休、退休、退职人员人数与保险费用_保险福利费用总计_离休金,
全市在岗职工与离退休人员保险福利费用_离休、退休、退职人员人数与保险费用_保险福利费用总计_退体金,
全市在岗职工与离退休人员保险福利费用_离休、退休、退职人员人数与保险费用_保险福利费用总计_退职生活费,
全市在岗职工与离退休人员保险福利费用_离休、退休、退职人员人数与保险费用_保险福利费用总计_医疗卫生费,
全市在岗职工与离退休人员保险福利费用_离休、退休、退职人员人数与保险费用_保险福利费用总计_其他,
市区在岗职工与离退休人员保险福利费用_职工保险福利费用合计,
市区在岗职工与离退休人员保险福利费用_职工保险福利费用合计_集体福利设施及事业补贴费,
市区在岗职工与离退休人员保险福利费用_职工保险福利费用合计_文体宣传费,
市区在岗职工与离退休人员保险福利费用_职工保险福利费用合计_医疗卫生费,
市区在岗职工与离退休人员保险福利费用_职工保险福利费用合计_其他,
市区在岗职工与离退休人员保险福利费用_离休、退休、退职人员人数与保险费用,
市区在岗职工与离退休人员保险福利费用_离休、退休、退职人员人数与保险费用_年末离退休退职人数,
市区在岗职工与离退休人员保险福利费用_离休、退休、退职人员人数与保险费用_年末离退休退职人数_离休人数,
市区在岗职工与离退休人员保险福利费用_离休、退休、退职人员人数与保险费用_年末离退休退职人数_退休人数,
市区在岗职工与离退休人员保险福利费用_离休、退休、退职人员人数与保险费用_年末离退休退职人数_领取定期生活费退职人员,
市区在岗职工与离退休人员保险福利费用_离休、退休、退职人员人数与保险费用_保险福利费用总计,
市区在岗职工与离退休人员保险福利费用_离休、退休、退职人员人数与保险费用_保险福利费用总计_离休金,
市区在岗职工与离退休人员保险福利费用_离休、退休、退职人员人数与保险费用_保险福利费用总计_退体金,
市区在岗职工与离退休人员保险福利费用_离休、退休、退职人员人数与保险费用_保险福利费用总计_退职生活费,
市区在岗职工与离退休人员保险福利费用_离休、退休、退职人员人数与保险费用_保险福利费用总计_医疗卫生费,
市区在岗职工与离退休人员保险福利费用_离休、退休、退职人员人数与保险费用_保险福利费用总计_其他,
全市社会保险参保人员基本情况_参保总人次,
全市社会保险参保人员基本情况_基本养老保险,
全市社会保险参保人员基本情况_失业保险,
全市社会保险参保人员基本情况_基本医疗保险,
全市社会保险参保人员基本情况_工伤保险,
全市社会保险参保人员基本情况_生育保险,
全市社会福利事业单位基本情况_机构数,
全市社会福利事业单位基本情况_收养性福利事业单位,
全市社会福利事业单位基本情况_国家办社会福利院,
全市社会福利事业单位基本情况_国家办儿童福利院,
全市社会福利事业单位基本情况_国家办其它收养性单位,
全市社会福利事业单位基本情况_社会办敬老院,
全市社会福利事业单位基本情况_非收养性福利事业单位,
全市社会福利事业单位基本情况_殡葬服务单位,
全市社会福利事业单位基本情况_社会福利事业单位床位数,
全市社会福利事业单位基本情况_社会福利事业单位床位数_国家办社会福利院,
全市社会福利事业单位基本情况_社会福利事业单位床位数_国家办儿童福利院,
全市社会福利事业单位基本情况_社会福利事业单位床位数_国家办其它收养性单位,
全市社会福利事业单位基本情况_社会福利事业单位床位数_社会办敬老院,
全市社会福利事业单位基本情况_社会福利事业单位收养人数,
全市社会福利事业单位基本情况_社会福利事业单位收养人数_国家办社会福利院,
全市社会福利事业单位基本情况_社会福利事业单位收养人数_国家办儿童福利院,
全市社会福利事业单位基本情况_社会福利事业单位收养人数_国家办其它收养性单位,
全市社会福利事业单位基本情况_社会福利事业单位收养人数_社会办敬老院,
全市社会福利事业单位基本情况_社会福利企业单位,
全市社会福利事业单位基本情况_社会福利企业单位_福利工厂,
全市社会福利事业单位基本情况_社会福利企业单位职工数,
全市社会福利事业单位基本情况_残疾人数,
全市享受国家抚恤、补助及救济情况_享受定期抚恤人数,
全市享受国家抚恤、补助及救济情况_革命伤残人员抚恤人数,
全市享受国家抚恤、补助及救济情况_享受定期抚恤优抚人数,
全市享受国家抚恤、补助及救济情况_享受定期抚恤优抚人数_在乡复员军人,
全市享受国家抚恤、补助及救济情况_带病回乡退伍军人,
全市享受国家抚恤、补助及救济情况_社会困难户得到国家临时救济人次数,
全市享受国家抚恤、补助及救济情况_精减退职职工得到救济人数,
全市享受国家抚恤、补助及救济情况_享受原工资40％精减职工人数,
全市享受国家抚恤、补助及救济情况_享受定期定量救济人数,
全市享受国家抚恤、补助及救济情况_享受城镇最低生活保障人数,
全市享受国家抚恤、补助及救济情况_享受城镇最低生活保障金额,
全市享受国家抚恤、补助及救济情况_享受农村最低生活保障人数,
全市享受国家抚恤、补助及救济情况_享受农村最低生活保障金额,
分地区享受国家抚恤、补助及救济情况_享受定期抚恤人数,
分地区享受国家抚恤、补助及救济情况_革命伤残人员抚恤人数,
分地区享受国家抚恤、补助及救济情况_享受定期抚恤优抚人数,
分地区享受国家抚恤、补助及救济情况_享受定期抚恤优抚人数_在乡复员军人,
分地区享受国家抚恤、补助及救济情况_带病回乡退伍军人,
分地区享受国家抚恤、补助及救济情况_社会困难户得到国家临时救济人次数,
分地区享受国家抚恤、补助及救济情况_精减退职职工得到救济人数,
分地区享受国家抚恤、补助及救济情况_享受原工资40％精减职工人数,
分地区享受国家抚恤、补助及救济情况_享受定期定量救济人数,
分地区享受国家抚恤、补助及救济情况_享受城镇最低生活保障人数,
分地区享受国家抚恤、补助及救济情况_享受城镇最低生活保障金额,
分地区享受国家抚恤、补助及救济情况_享受农村最低生活保障人数,
分地区享受国家抚恤、补助及救济情况_享受农村最低生活保障金额,
全市婚姻登记情况_内地居民登记结婚,
全市婚姻登记情况_内地居民登记结婚_初婚人数,
全市婚姻登记情况_内地居民登记结婚_再婚人数,
全市婚姻登记情况_内地居民登记结婚_再婚人数_男性,
全市婚姻登记情况_内地居民登记结婚_再婚人数_男性_恢复结婚,
全市婚姻登记情况_涉外及华侨、港澳台居民登记结婚,
全市婚姻登记情况_涉外及华侨、港澳台居民登记结婚_内地居民,
全市婚姻登记情况_涉外及华侨、港澳台居民登记结婚_内地居民_男性,
全市婚姻登记情况_涉外及华侨、港澳台居民登记结婚_香港居民,
全市婚姻登记情况_涉外及华侨、港澳台居民登记结婚_澳门居民,
全市婚姻登记情况_涉外及华侨、港澳台居民登记结婚_台湾居民,
全市婚姻登记情况_涉外及华侨、港澳台居民登记结婚_华侨,
全市婚姻登记情况_涉外及华侨、港澳台居民登记结婚_外国人,
全市婚姻登记情况_离婚登记,
全市婚姻登记情况_离婚登记_内地居民登记离婚,
全市婚姻登记情况_离婚登记_涉外及华侨、港澳台居民登记离婚,
全市婚姻登记情况_内地居民登记结婚,
全市婚姻登记情况_内地居民登记结婚_初婚人数,
全市婚姻登记情况_内地居民登记结婚_再婚人数,
全市婚姻登记情况_内地居民登记结婚_再婚人数_男性,
全市婚姻登记情况_内地居民登记结婚_再婚人数_男性_恢复结婚,
全市婚姻登记情况_涉外及华侨、港澳台居民登记结婚,
全市婚姻登记情况_涉外及华侨、港澳台居民登记结婚_内地居民,
全市婚姻登记情况_涉外及华侨、港澳台居民登记结婚_内地居民_男性,
全市婚姻登记情况_涉外及华侨、港澳台居民登记结婚_香港居民,
全市婚姻登记情况_涉外及华侨、港澳台居民登记结婚_澳门居民,
全市婚姻登记情况_涉外及华侨、港澳台居民登记结婚_台湾居民,
全市婚姻登记情况_涉外及华侨、港澳台居民登记结婚_华侨,
全市婚姻登记情况_涉外及华侨、港澳台居民登记结婚_外国人,
全市婚姻登记情况_离婚登记,
全市婚姻登记情况_离婚登记_内地居民登记离婚,
全市婚姻登记情况_离婚登记_涉外及华侨、港澳台居民登记离婚,
全市全社会固定资产投资额_合计,
全市全社会固定资产投资额_投资项目_小计,
全市全社会固定资产投资额_投资项目_限额以上项目,
全市全社会固定资产投资额_投资项目_限额以下项目,
全市全社会固定资产投资额_房地产开发投资额,
全市全社会固定资产投资额_城镇私人建房投资,
全市全社会固定资产投资额_农村私人投资,
市区全社会固定资产投资额_合计,
市区全社会固定资产投资额_投资项目_小计,
市区全社会固定资产投资额_投资项目_限额以上项目,
市区全社会固定资产投资额_投资项目_限额以下项目,
市区全社会固定资产投资额_房地产开发投资额,
市区全社会固定资产投资额_城镇私人建房投资,
市区全社会固定资产投资额_农村私人投资,
分地区全社会固定资产投资完成额,
分地区全社会固定资产投资额_总计,
分地区全社会固定资产投资额_总计_投资项目固定资产投资合计,
分地区全社会固定资产投资额_总计_投资项目固定资产投资合计_按国有控股情况分_国有控股,
分地区全社会固定资产投资额_总计_投资项目固定资产投资合计_按国有控股情况分_非国有控股,
分地区全社会固定资产投资额_总计_投资项目固定资产投资合计_按国有控股情况分_非国有控股_集体控股,
分地区全社会固定资产投资额_总计_投资项目固定资产投资合计_按国有控股情况分_非国有控股_私人控股,
分地区全社会固定资产投资额_总计_投资项目固定资产投资合计_按国有控股情况分_非国有控股_港澳台控股,
分地区全社会固定资产投资额_总计_投资项目固定资产投资合计_按国有控股情况分_非国有控股_外商控股,
分地区全社会固定资产投资额_总计_投资项目固定资产投资合计_按投资规模分_限额以上项目,
分地区全社会固定资产投资额_总计_投资项目固定资产投资合计_按投资规模分_限额以下项目,
分地区全社会固定资产投资额_总计_房地产开发投资额,
全社会固定资产投资竣工房屋建筑面积_竣工房屋建筑面积合计,
全社会固定资产投资竣工房屋建筑面积_竣工房屋建筑面积合计_投资项目固定资产,
全社会固定资产投资竣工房屋建筑面积_竣工房屋建筑面积合计_投资项目固定资产_限额以上,
全社会固定资产投资竣工房屋建筑面积_竣工房屋建筑面积合计_投资项目固定资产_限额以下,
全社会固定资产投资竣工房屋建筑面积_竣工房屋建筑面积合计_房地产开发单位,
全社会固定资产投资竣工房屋建筑面积_竣工房屋建筑面积合计,
全社会固定资产投资竣工房屋建筑面积_竣工房屋建筑面积合计_投资项目固定资产,
全社会固定资产投资竣工房屋建筑面积_竣工房屋建筑面积合计_投资项目固定资产_限额以上,
全社会固定资产投资竣工房屋建筑面积_竣工房屋建筑面积合计_投资项目固定资产_限额以下,
全社会固定资产投资竣工房屋建筑面积_竣工房屋建筑面积合计_房地产开发单位,
全市投资项目分行业固定资产投资额_全部项目_总计,
全市投资项目分行业固定资产投资额_全部项目_农、林、牧、渔业,
全市投资项目分行业固定资产投资额_全部项目_采掘业,
全市投资项目分行业固定资产投资额_全部项目_制造业,
全市投资项目分行业固定资产投资额_全部项目_电力、燃气及水的生产和供应业,
全市投资项目分行业固定资产投资额_全部项目_建筑业,
全市投资项目分行业固定资产投资额_全部项目_交通运输、仓储和邮政业,
全市投资项目分行业固定资产投资额_全部项目_信息传输、计算机服务和软件业,
全市投资项目分行业固定资产投资额_全部项目_批发和零售业,
全市投资项目分行业固定资产投资额_全部项目_住宿和餐饮业,
全市投资项目分行业固定资产投资额_全部项目_金融业,
全市投资项目分行业固定资产投资额_全部项目_房地产业,
全市投资项目分行业固定资产投资额_全部项目_租赁和商务服务业,
全市投资项目分行业固定资产投资额_全部项目_科学研究、技术服务和地质勘查业,
全市投资项目分行业固定资产投资额_全部项目_水利、环境和公共设施管理业,
全市投资项目分行业固定资产投资额_全部项目_居民服务和其他服务业,
全市投资项目分行业固定资产投资额_全部项目_教育,
全市投资项目分行业固定资产投资额_全部项目_卫生、社会保障和社会福利业,
全市投资项目分行业固定资产投资额_全部项目_文化、体育和娱乐业,
全市投资项目分行业固定资产投资额_全部项目_公共管理和社会组织,
全市投资项目分行业固定资产投资额_限额以上_总计,
全市投资项目分行业固定资产投资额_限额以上_农、林、牧、渔业,
全市投资项目分行业固定资产投资额_限额以上_采掘业,
全市投资项目分行业固定资产投资额_限额以上_制造业,
全市投资项目分行业固定资产投资额_限额以上_电力、燃气及水的生产和供应业,
全市投资项目分行业固定资产投资额_限额以上_建筑业,
全市投资项目分行业固定资产投资额_限额以上_交通运输、仓储和邮政业,
全市投资项目分行业固定资产投资额_限额以上_信息传输、计算机服务和软件业,
全市投资项目分行业固定资产投资额_限额以上_批发和零售业,
全市投资项目分行业固定资产投资额_限额以上_住宿和餐饮业,
全市投资项目分行业固定资产投资额_限额以上_金融业,
全市投资项目分行业固定资产投资额_限额以上_房地产业,
全市投资项目分行业固定资产投资额_限额以上_租赁和商务服务业,
全市投资项目分行业固定资产投资额_限额以上_科学研究、技术服务和地质勘查业,
全市投资项目分行业固定资产投资额_限额以上_水利、环境和公共设施管理业,
全市投资项目分行业固定资产投资额_限额以上_居民服务和其他服务业,
全市投资项目分行业固定资产投资额_限额以上_教育,
全市投资项目分行业固定资产投资额_限额以上_卫生、社会保障和社会福利业,
全市投资项目分行业固定资产投资额_限额以上_文化、体育和娱乐业,
全市投资项目分行业固定资产投资额_限额以上_公共管理和社会组织,
全市投资项目分行业固定资产投资额_限额以下_总计,
全市投资项目分行业固定资产投资额_限额以下_农、林、牧、渔业,
全市投资项目分行业固定资产投资额_限额以下_采掘业,
全市投资项目分行业固定资产投资额_限额以下_制造业,
全市投资项目分行业固定资产投资额_限额以下_电力、燃气及水的生产和供应业,
全市投资项目分行业固定资产投资额_限额以下_建筑业,
全市投资项目分行业固定资产投资额_限额以下_交通运输、仓储和邮政业,
